updateon,symbol,isinCode,identifier,listingDate,issuedSize,lastPrice,TodayChangeValue,TodayPercentageChange,previousClose,close,vwap,open,minintraday,maxintraday,valueintraday,52WeekMin,52WeekMinDate,52WeekMax,52WeekMaxDate,valueweek,upperCP,lowerCP,basePrice,iNavValue,checkINAV,tickSize,priceBand,ppriceBand,totalTradedVolume_lks,totalTradedValue_cr,totalMarketCap_cr,freefloatmktcap_cr,impactCost,faceValue,cmDailyVolatility,cmAnnualVolatility,marketLot,securityVar,indexVar,varMargin,extremeLossMargin,adhocMargin,applicableMargin,volume,deliveryQuantity,deliveryToTradedQuantity_Percentage,FarFrom52WeekHigh,FarFrom52WeekLow,RangePositionTrend,DayPerformance,IntradayRangePercent,RangeTrendLabel,TrendImplication
17-07-2026,EVINDIA,INF769K01LQ3,EVINDIAEQN,16-Jul-2024,55197179,31.7,0.22,0.7,31.48,31.66,31.57,31.5,31.45,31.83,31.57,26.2,30-Mar-2026 00:00:00,32.56,09-Jan-2026 00:00:00,0.0,0.0,0.0,0.0,31.57,True,0.01,25.33-37.99,20,3.0772,0.9715,174.9751,1749750574.3,0.16,10.0,1.13,21.59,0,7.03,0.0,9.0,3.5,0.0,12.5,307716,165674,53.84,2.64127764127765,20.99236641221374,86.4779874213836,0.6988564167725504,1.2082670906200288,Near High,Range-bound/Unclear
17-07-2026,FMCGIETF,INF109KC19V3,FMCGIETFEQN,10-Aug-2021,147034380,52.33,0.3,0.58,52.03,52.31,52.2,52.13,51.77,52.44,52.2,48.55,30-Mar-2026 00:00:00,62.3,04-Sep-2025 00:00:00,0.0,0.0,0.0,0.0,52.28,True,0.01,41.85-62.77,20,6.0309,3.1481,769.4309,7694309105.4,0.05,1.0,0.88,16.81,0,5.45,0.0,9.0,3.5,0.0,12.5,603093,391714,64.95,16.00321027287319,7.785787847579817,27.4909090909091,0.5765904285988799,1.2941858219045674,Uncertain,Range-bound/Unclear
17-07-2026,GOLDBEES,INF204KB17I5,GOLDBEESEQN,19-Mar-2007,4567745936,115.83,-0.64,-0.55,116.47,115.79,115.61,115.95,115.15,115.99,115.61,79.67,22-Jul-2025 00:00:00,148.14,29-Jan-2026 00:00:00,0.0,0.0,0.0,0.0,115.83,True,0.01,92.64-138.94,20,241.6012,279.3152,52908.2012,529082011766.88,0.02,1.0,1.79,34.2,0,11.34,0.0,11.34,3.5,0.0,14.84,24160121,14778098,61.17,21.810449574726604,45.3872222919543,52.81145027019133,-0.549497724735984,0.7294832826747626,Mid Range,Range-bound/Unclear
17-07-2026,HDFCSENSEX,INF179KC1HX2,HDFCSENSEXEQN,16-Dec-2015,109323239,87.6,0.03,0.03,87.57,88.37,88.24,88.25,87.14,88.6,88.24,80.9,02-Apr-2026 00:00:00,98.48,08-Dec-2025 00:00:00,0.0,0.0,0.0,0.0,88.58,True,0.01,70.70-106.04,20,0.8403,0.7415,957.6716,9576715736.4,0.17,25.03,0.85,16.24,0,5.22,0.0,6.0,2.0,0.0,8.0,84029,66640,79.31,11.047928513403745,8.281829419035832,38.11149032992031,0.034258307639603906,1.6754647693366924,Uncertain,Range-bound/Unclear
17-07-2026,HDFCSML250,INF179KC1FB2,HDFCSML250EQN,21-Feb-2023,135986700,181.52,-0.68,-0.37,182.2,181.3,181.05,181.8,179.95,183.0,181.05,142.7,23-Mar-2026 00:00:00,184.13,14-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,181.29,True,0.01,145.04-217.56,20,16.6816,30.2021,2468.4306,24684305784.0,0.04,91.31,1.17,22.35,0,7.24,0.0,7.24,2.0,0.0,9.24,1668162,736725,44.16,1.4174767827078616,27.20392431674844,93.70021723388852,-0.3732162458836325,1.6949152542372947,Near High,Range-bound/Unclear
17-07-2026,HEALTHY,INF209KB10C2,HEALTHYEQN,28-Oct-2021,47494513,16.74,-0.23,-1.36,16.97,16.72,16.74,17.05,16.7,17.13,16.74,13.58,13-Feb-2026 00:00:00,17.34,06-Jul-2026 00:00:00,0.0,0.0,0.0,0.0,16.75,True,0.01,13.38-20.06,20,2.7532,0.4609,79.5058,795058147.62,0.15,1.0,0.9,17.19,0,5.56,0.0,9.0,3.5,0.0,12.5,275325,200146,72.69,3.460207612456755,23.269513991163464,84.04255319148932,-1.3553329404832082,2.574850299401196,Near High,Range-bound/Unclear
17-07-2026,HNGSNGBEES,INF204KB19I1,HNGSNGBEESEQN,18-Mar-2010,23586680,480.0,-4.32,-0.89,484.32,479.81,479.4,476.51,476.51,483.0,479.4,387.43,17-Jul-2025 00:00:00,579.92,06-Oct-2025 00:00:00,0.0,0.0,0.0,0.0,447.16,True,0.01,383.85-575.77,20,0.9616,4.6097,1132.1606,0.0,0.63,1.0,1.79,34.2,0,11.33,0.0,11.33,2.0,0.0,13.33,96156,60849,63.28,17.229962753483232,23.893348475853703,48.09080991220324,-0.8919722497522286,1.361986107321989,Mid Range,Range-bound/Unclear
17-07-2026,ICICIB22,INF109KB15Y7,ICICIB22EQN,28-Nov-2017,877869635,116.4,0.89,0.77,115.51,115.98,115.71,112.62,112.62,116.4,115.71,103.6,29-Aug-2025 00:00:00,131.0,02-Mar-2026 00:00:00,0.0,0.0,0.0,0.0,116.02,True,0.01,92.79-139.17,20,2.5345,2.9327,10218.4026,0.0,0.04,10.0,1.0,19.1,0,6.16,0.0,9.0,3.5,0.0,12.5,253452,195084,76.97,11.145038167938926,12.355212355212366,46.71532846715331,0.7704960609471045,3.3564198188598833,Mid Range,Range-bound/Unclear
17-07-2026,INFRAIETF,INF109KC16E5,INFRAIETFEQN,23-Aug-2022,44021048,96.8,1.01,1.05,95.79,96.53,96.31,95.8,95.51,96.8,96.31,86.8,02-Apr-2026 00:00:00,101.0,23-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,96.39,True,0.01,77.23-115.83,20,0.3881,0.3738,426.1237,4261237446.4,0.12,10.0,1.03,19.68,0,6.35,0.0,9.0,3.5,0.0,12.5,38808,24351,62.75,4.158415841584161,11.52073732718894,70.42253521126759,1.0543898110449847,1.3506439116322815,Uncertain,Range-bound/Unclear
17-07-2026,ITBEES,INF204KB15V2,ITBEESEQN,01-Jul-2020,1222716835,32.38,0.51,1.6,31.87,32.44,32.38,32.5,32.05,32.58,32.38,28.55,01-Jul-2026 00:00:00,44.27,03-Feb-2026 00:00:00,0.0,0.0,0.0,0.0,32.48,True,0.01,25.96-38.92,20,276.8954,89.6587,3959.1571,39591571117.3,0.04,10.0,1.56,29.8,0,9.81,0.0,9.81,3.5,0.0,13.31,27689537,18365661,66.33,26.857917325502594,13.415061295971986,24.36386768447838,1.6002510197678115,1.6536661466458695,Uncertain,Range-bound/Unclear
